Num Topics,Passes,Iterations,Coherence
5,50,100,-2.3498220627646687
10,50,100,-1.9505224848811078
20,50,100,-3.6279321347373448
30,50,100,-3.774642284074354
40,50,100,-3.6702044274078345
50,50,100,-4.179869004869018
60,50,100,-4.014382438166954
70,50,100,-3.9801996623022506
80,50,100,-3.7744187841456416
90,50,100,-3.712907762695022
100,50,100,-3.498139814706672
